committee_id,candidate_name,state_full,disbursement_date,disbursement_description,disbursement_amount,recipient_name,pdf_url,sub_id,two_years_after_office,two_years_after_last_election,after_death,TIMES_CATEGORY
C00331496,"MILLER, GARY G",California,2017-01-11 00:00:00,TELEPHONE EXPENSE,105.29,FRONTIER COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087234,4041320171398536564,True,False,False,phones/fax
C00331496,"MILLER, GARY G",California,2017-01-24 00:00:00,TELEPHONE SERVICE,4.93,MCI,http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087236,4041320171398536576,True,False,False,phones/fax
C00331496,"MILLER, GARY G",California,2017-01-31 00:00:00,PAYROLL,791.37,"MILLER, CATHLEEN",http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087237,4041320171398536582,True,False,False,payroll: to family
C00331496,"MILLER, GARY G",California,2017-01-31 00:00:00,RENT,1493.66,SHEA PROPERTIES,http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087238,4041320171398536588,True,False,False,rent
C00331496,"MILLER, GARY G",California,2017-01-31 00:00:00,TELEPHONE SERVICES,112.94,VERIZON WIRELESS,http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087243,4041320171398536618,True,False,False,phones: cell/wireless data
C00331496,"MILLER, GARY G",California,2017-02-06 00:00:00,TELEPHONE SERVICES,287.93,VERIZON WIRELESS,http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087239,4041320171398536596,True,False,False,phones: cell/wireless data
C00331496,"MILLER, GARY G",California,2017-02-16 00:00:00,TELEPHONE SERVICE,103.13,FRONTIER COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087234,4041320171398536566,True,False,False,phones/fax
C00331496,"MILLER, GARY G",California,2017-02-23 00:00:00,TELEPHONE SERVICE,5.4,MCI,http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087236,4041320171398536578,True,False,False,phones/fax
C00331496,"MILLER, GARY G",California,2017-02-28 00:00:00,PAYROLL,791.37,"MILLER, CATHLEEN",http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087237,4041320171398536584,True,False,False,payroll: to family
C00331496,"MILLER, GARY G",California,2017-02-28 00:00:00,TRAVEL,250.0,UNITED AIRLINES,http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087241,4041320171398536608,True,False,False,travel
C00331496,"MILLER, GARY G",California,2017-02-28 00:00:00,OFFICE SUPPLIES,20.66,AMAZON.COM,http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087242,4041320171398536610,True,False,False,office: supplies
C00331496,"MILLER, GARY G",California,2017-02-28 00:00:00,TELEPHONE SERVICE,92.12,VERIZON WIRELESS,http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087244,4041320171398536622,True,False,False,phones: cell/wireless data
C00331496,"MILLER, GARY G",California,2017-03-01 00:00:00,RENT,400.0,SHEA PROPERTIES,http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087238,4041320171398536590,True,False,False,rent
C00331496,"MILLER, GARY G",California,2017-03-07 00:00:00,TELEPHONE SERVICE,287.93,VERIZON WIRELESS,http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087240,4041320171398536598,True,False,False,phones: cell/wireless data
C00331496,"MILLER, GARY G",California,2017-03-15 00:00:00,TELEPHONE SERVICES,51.49,FRONTIER COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087235,4041320171398536568,True,False,False,phones/fax
C00331496,"MILLER, GARY G",California,2017-03-28 00:00:00,TELEPHONE SERVICES,6.99,MCI,http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087237,4041320171398536580,True,False,False,phones/fax
C00331496,"MILLER, GARY G",California,2017-03-31 00:00:00,PAYROLL,791.37,"MILLER, CATHLEEN",http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087238,4041320171398536586,True,False,False,payroll: to family
C00331496,"MILLER, GARY G",California,2017-03-31 00:00:00,RENT,400.0,SHEA PROPERTIES,http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087239,4041320171398536592,True,False,False,rent
C00331496,"MILLER, GARY G",California,2017-03-31 00:00:00,OFFICE SUPPLIES,58.5,AMAZON.COM,http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087240,4041320171398536600,True,False,False,office: supplies
C00331496,"MILLER, GARY G",California,2017-03-31 00:00:00,MEALS AND BEVERAGES,44.01,KICK BACK JACKS,http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087244,4041320171398536626,True,False,False,meals
C00331496,"MILLER, GARY G",California,2017-03-31 00:00:00,TELEPHONE SERVICE,96.7,VERIZON,http://docquery.fec.gov/cgi-bin/fecimg/?201704129052087245,4041320171398536628,True,False,False,phones: cell/wireless data
C00331496,"MILLER, GARY G",California,2017-04-04 00:00:00,PETTY CASH,500.0,"GALATIANO, MARGARET",http://docquery.fec.gov/cgi-bin/fecimg/?201710149075675939,4101620171458312465,True,False,False,petty cash
C00331496,"MILLER, GARY G",California,2017-04-04 00:00:00,TELEPHONE SERVICES,287.93,VERIZON WIRELESS,http://docquery.fec.gov/cgi-bin/fecimg/?201710149075675942,4101620171458312485,True,False,False,phones: cell/wireless data
C00331496,"MILLER, GARY G",California,2017-04-13 00:00:00,TELEPHONE SERVICES,51.71,FRONTIER COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?201710149075675938,4101620171458312459,True,False,False,phones/fax
C00331496,"MILLER, GARY G",California,2017-04-28 00:00:00,OFFICE SUPPLIES,472.98,TOYS R US,http://docquery.fec.gov/cgi-bin/fecimg/?201710149075675943,4101620171458312493,True,False,False,office: supplies
C00331496,"MILLER, GARY G",California,2017-04-28 00:00:00,TELEPHONE SERVICE,92.08,VERIZON,http://docquery.fec.gov/cgi-bin/fecimg/?201710149075675944,4101620171458312497,True,False,False,phones: cell/wireless data
C00331496,"MILLER, GARY G",California,2017-05-01 00:00:00,PAYROLL,791.37,"MILLER, CATHLEEN",http://docquery.fec.gov/cgi-bin/fecimg/?201710149075675940,4101620171458312471,True,False,False,payroll: to family
C00331496,"MILLER, GARY G",California,2017-05-01 00:00:00,RENT,400.0,SHEA PROPERTIES,http://docquery.fec.gov/cgi-bin/fecimg/?201710149075675941,4101620171458312477,True,False,False,rent
C00331496,"MILLER, GARY G",California,2017-05-09 00:00:00,TELEPHONE SERVICES,288.03,VERIZON WIRELESS,http://docquery.fec.gov/cgi-bin/fecimg/?201710149075675942,4101620171458312487,True,False,False,phones: cell/wireless data
C00331496,"MILLER, GARY G",California,2017-05-15 00:00:00,TELEPHONE SERVICES,52.57,FRONTIER COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?201710149075675938,4101620171458312461,True,False,False,phones/fax
C00331496,"MILLER, GARY G",California,2017-05-31 00:00:00,TELEPHONE SERVICES,85.14,VERIZON,http://docquery.fec.gov/cgi-bin/fecimg/?201710149075675945,4101620171458312501,True,False,False,phones: cell/wireless data
C00331496,"MILLER, GARY G",California,2017-06-01 00:00:00,PAYROLL,791.37,"MILLER, CATHLEEN",http://docquery.fec.gov/cgi-bin/fecimg/?201710149075675940,4101620171458312473,True,False,False,payroll: to family
C00331496,"MILLER, GARY G",California,2017-06-01 00:00:00,RENT,400.0,SHEA PROPERTIES,http://docquery.fec.gov/cgi-bin/fecimg/?201710149075675941,4101620171458312479,True,False,False,rent
C00331496,"MILLER, GARY G",California,2017-06-05 00:00:00,TELEPHONE SERVICE,288.03,VERIZON WIRELESS,http://docquery.fec.gov/cgi-bin/fecimg/?201710149075675943,4101620171458312489,True,False,False,phones: cell/wireless data
C00331496,"MILLER, GARY G",California,2017-06-14 00:00:00,TELEPHONE SERVICES,51.65,FRONTIER COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?201710149075675938,4101620171458312463,True,False,False,phones/fax
C00331496,"MILLER, GARY G",California,2017-06-30 00:00:00,PAYROLL,791.37,"MILLER, CATHLEEN",http://docquery.fec.gov/cgi-bin/fecimg/?201710149075675940,4101620171458312475,True,False,False,payroll: to family
C00331496,"MILLER, GARY G",California,2017-06-30 00:00:00,RENT,400.0,SHEA PROPERTIES,http://docquery.fec.gov/cgi-bin/fecimg/?201710149075675941,4101620171458312481,True,False,False,rent
C00331496,"MILLER, GARY G",California,2017-06-30 00:00:00,TELEPHONE SERVICES,94.76,VERIZON WIRELESS,http://docquery.fec.gov/cgi-bin/fecimg/?201710149075675945,4101620171458312506,True,False,False,phones: cell/wireless data
