committee_id,candidate_name,state_full,disbursement_date,disbursement_description,disbursement_amount,recipient_name,pdf_url,sub_id,two_years_after_office,two_years_after_last_election,after_death,TIMES_CATEGORY
C00200873,"PICKETT, OWEN B",Virginia,2004-12-13 00:00:00,STAFF TEMP,1016.21,Delores Turner,http://docquery.fec.gov/cgi-bin/fecimg/?25980337637,4012620051053255712,True,False,False,office: services
C00200873,"PICKETT, OWEN B",Virginia,2007-02-12 00:00:00,CONTRIBUTION,330.0,DEMOCRATIC PARTY OF VIRGINIA,http://docquery.fec.gov/cgi-bin/fecimg/?27930480190,4041020071076478149,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2007-02-14 00:00:00,CONTRIBUTION,2000.0,NORFOLK AZALEA FESTIVAL,http://docquery.fec.gov/cgi-bin/fecimg/?27930480191,4041020071076478152,True,False,False,charitable donation
C00200873,"PICKETT, OWEN B",Virginia,2007-02-20 00:00:00,CONTRIBUTION,5000.0,BORN FIGHTING PAC,http://docquery.fec.gov/cgi-bin/fecimg/?27930480189,4041020071076478147,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2007-02-20 00:00:00,CONTRIBUTION,4000.0,"WEBB FOR SENATE, JAMES",http://docquery.fec.gov/cgi-bin/fecimg/?27930480192,4041020071076478156,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2007-02-27 00:00:00,CONTRIBUTION,500.0,PETERSEN FOR STATE SENATE,http://docquery.fec.gov/cgi-bin/fecimg/?27930480191,4041020071076478153,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2007-02-28 00:00:00,CONTRIBUTION,1000.0,VIRGINIA BEACH DEMOCRATIC COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?27930480191,4041020071076478154,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2007-03-01 00:00:00,CONTRIBUTION,500.0,BOB MACIVER FOR DELEGATE,http://docquery.fec.gov/cgi-bin/fecimg/?27930480189,4041020071076478146,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2007-03-05 00:00:00,CONTRIBUTION,500.0,MATHIESON FOR DELEGATE,http://docquery.fec.gov/cgi-bin/fecimg/?27930480190,4041020071076478151,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2007-03-12 00:00:00,CONTRIBUTION,1000.0,VIRGINIA INTERNATIONAL TATTOO,http://docquery.fec.gov/cgi-bin/fecimg/?27930480192,4041020071076478155,True,False,False,charitable donation
C00200873,"PICKETT, OWEN B",Virginia,2007-03-20 00:00:00,CONTRIBUTION,500.0,FRIENDS OF HENRY LIGHT,http://docquery.fec.gov/cgi-bin/fecimg/?27930480190,4041020071076478150,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2007-03-22 00:00:00,CONTRIBUTION,500.0,BOUCHARD FOR DELEGATE,http://docquery.fec.gov/cgi-bin/fecimg/?27930480189,4041020071076478148,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2005-01-03 00:00:00,CONTRIBUTION,1000.0,WILLIAM J. CLINTON FOUNDATION,http://docquery.fec.gov/cgi-bin/fecimg/?25990415655,4040520051055871275,True,False,False,charitable donation
C00200873,"PICKETT, OWEN B",Virginia,2005-05-04 00:00:00,SPONSORSHIP,1000.0,VA. BEACH DEMOCRATIC COMM.,http://docquery.fec.gov/cgi-bin/fecimg/?25970581155,4071220051059146283,True,False,False,sponsorships
C00200873,"PICKETT, OWEN B",Virginia,2005-05-31 00:00:00,CONTRIBUTION,250.0,CHRISTOPHER FOR DELEGATE,http://docquery.fec.gov/cgi-bin/fecimg/?25970581154,4071220051059146278,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2005-05-31 00:00:00,CONTRIBUTION,250.0,MCDONALD FOR COMMISSIONER,http://docquery.fec.gov/cgi-bin/fecimg/?25970581154,4071220051059146280,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2005-06-07 00:00:00,CONTRIBUTION,1000.0,DEEDS FOR ATTY. GEN.,http://docquery.fec.gov/cgi-bin/fecimg/?25970581154,4071220051059146279,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2005-06-08 00:00:00,CONTRIBUTION,1000.0,TIM KAINE FOR GOV.,http://docquery.fec.gov/cgi-bin/fecimg/?25970581155,4071220051059146282,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2005-06-09 00:00:00,CONTRIBUTION,500.0,PUCKETT FOR LT. GOV.,http://docquery.fec.gov/cgi-bin/fecimg/?25970581155,4071220051059146281,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2005-09-21 00:00:00,,120.0,H.R. COUNCIL OF VETERANS ORGANIZATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?25971173800,4101420051061311463,True,False,False,charitable donation
C00200873,"PICKETT, OWEN B",Virginia,2005-09-26 00:00:00,,250.0,VA. BEACH DEMOCRATIC COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?25971173800,4101420051061311464,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2005-10-03 00:00:00,CAMPAIGN CONTRIBUTION,1000.0,PHIL KELLAM CAMPAIGN,http://docquery.fec.gov/cgi-bin/fecimg/?26990054153,4011520061063104855,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2005-10-26 00:00:00,HURRICANE RELIEF,500.0,NEXCOM KATRINA FUND,http://docquery.fec.gov/cgi-bin/fecimg/?26990054153,4011520061063104854,True,False,False,charitable donation
C00200873,"PICKETT, OWEN B",Virginia,2005-10-28 00:00:00,CHARITABLE CONTRIBUTION,5000.0,CAPE HENRY COLLEGIATE SCHOOL,http://docquery.fec.gov/cgi-bin/fecimg/?26990054152,4011520061063104851,True,False,False,charitable donation
C00200873,"PICKETT, OWEN B",Virginia,2005-11-02 00:00:00,CAMPAIGN CONTRIBUTION,1000.0,KAINE FOR GOVERNOR,http://docquery.fec.gov/cgi-bin/fecimg/?26990054152,4011520061063104853,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2005-12-08 00:00:00,CAMPAIGN CONTRIBUTION,1000.0,DEEDS FOR ATTORNEY GENERAL,http://docquery.fec.gov/cgi-bin/fecimg/?26990054152,4011520061063104852,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2006-02-24 00:00:00,CAMPAIGN CONTRIBUTION,500.0,"DUCKWORTH, L. TAMMY",http://docquery.fec.gov/cgi-bin/fecimg/?26940081373,4041520061065452198,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2006-03-29 00:00:00,CAMPAIGN CONTRIBUTION,1000.0,"KELLAM FOR CONGRESS, PHILLIP",http://docquery.fec.gov/cgi-bin/fecimg/?26940081373,4041520061065452199,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2006-05-09 00:00:00,JJ DINNER,2500.0,VIRGINIA BEACH DEMOCRATIC COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?26940223974,4071020061067175743,True,False,False,tickets/table
C00200873,"PICKETT, OWEN B",Virginia,2006-07-15 00:00:00,CAMPAIGN CONTRIBUTION,1000.0,JAMES WEBB FOR US SENATE,http://docquery.fec.gov/cgi-bin/fecimg/?26950564436,4101420061070101969,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2006-07-15 00:00:00,CAMPAIGN CONTRIBUTION,1000.0,"KELLAM, PHILIP JEFFERSON",http://docquery.fec.gov/cgi-bin/fecimg/?26950564437,4101420061070101970,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2006-07-19 00:00:00,PRESERVATION ENDOWMENT,10000.0,THE LIBRARY OF VIRGINIA FOUNDATION,http://docquery.fec.gov/cgi-bin/fecimg/?26950564437,4101420061070101971,True,False,False,charitable donation
C00200873,"PICKETT, OWEN B",Virginia,2006-07-31 00:00:00,CONTRIBUTION,1000.0,DEMOCRATIC PARTY OF VIRGINIA,http://docquery.fec.gov/cgi-bin/fecimg/?26950564436,4101420061070101967,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2006-09-16 00:00:00,CONTRIBUTION,1000.0,DEMOCRATIC PARTY OF VIRGINIA,http://docquery.fec.gov/cgi-bin/fecimg/?26950564436,4101420061070101968,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2006-10-11 00:00:00,CAMPAIGN CONTRIBUTION,1000.0,"WEBB FOR SENATE, JAMES",http://docquery.fec.gov/cgi-bin/fecimg/?27930040162,4011420071074360059,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2006-10-12 00:00:00,CAMPAIGN CONTRIBUTION,1000.0,"MILLER, YVONNE",http://docquery.fec.gov/cgi-bin/fecimg/?27930040161,4011420071074360056,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2006-10-12 00:00:00,CAMAPAIGN CONTRIBUTION,500.0,"NACHMAN, JAMES M",http://docquery.fec.gov/cgi-bin/fecimg/?27930040161,4011420071074360057,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2006-11-22 00:00:00,CAMPAIGN CONTRIBUTION,500.0,"UNRIN, JOHN",http://docquery.fec.gov/cgi-bin/fecimg/?27930040161,4011420071074360058,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2003-01-27 00:00:00,TAILHOOK EDUCATIONAL FOUNDATION,1000.0,PICKETT FOR CONGRESS,http://docquery.fec.gov/cgi-bin/fecimg/?23990819462,4042820031031204942,True,False,False,charitable donation
C00200873,"PICKETT, OWEN B",Virginia,2003-03-19 00:00:00,V.B.P.S. EDUCATION FOUNDATION,10000.0,PICKETT FOR CONGRESS,http://docquery.fec.gov/cgi-bin/fecimg/?23990819462,4042820031031204943,True,False,False,charitable donation
C00200873,"PICKETT, OWEN B",Virginia,2003-05-08 00:00:00,VIRGINIA BEACH ROTARY FOUNDATION,1000.0,OWEN B. PICKETT,http://docquery.fec.gov/cgi-bin/fecimg/?23991331914,4071920031033600906,True,False,False,charitable donation
C00200873,"PICKETT, OWEN B",Virginia,2003-05-25 00:00:00,NAVY LEAGUE HAMPTON ROADS,500.0,OWEN B. PICKETT,http://docquery.fec.gov/cgi-bin/fecimg/?23991331914,4071920031033600907,True,False,False,charitable donation
C00200873,"PICKETT, OWEN B",Virginia,2003-07-03 00:00:00,CAPE HENRY COLLEGIATE SCHOOL,5000.0,PICKETT FOR CONGRESS,http://docquery.fec.gov/cgi-bin/fecimg/?23992026845,4101220031035555356,True,False,False,charitable donation
C00200873,"PICKETT, OWEN B",Virginia,2003-07-03 00:00:00,"DAVID L ANDRUKITIS, INC. - STATIONARY",836.2,PICKETT FOR CONGRESS,http://docquery.fec.gov/cgi-bin/fecimg/?23992026845,4101220031035555357,True,False,False,office: printing
C00200873,"PICKETT, OWEN B",Virginia,2003-09-19 00:00:00,HOLLAND FOR SENATE - CAMPAIGN CONTRIBUTI,1000.0,PICKETT FOR CONGRESS,http://docquery.fec.gov/cgi-bin/fecimg/?23992026845,4101220031035555358,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2003-09-19 00:00:00,FRIENDS OF ERIC SCHMUDDE - CAMPAIGN CONT,500.0,PICKETT FOR CONGRESS,http://docquery.fec.gov/cgi-bin/fecimg/?23992026846,4101220031035555359,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2003-10-11 00:00:00,CAMPAIGN CONTRIBUTION - CLARK FPR PRESID,1000.0,PICKETT FOR CONGRESS,http://docquery.fec.gov/cgi-bin/fecimg/?24990397012,4020120041035214944,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2003-10-22 00:00:00,YVONNE MILLER FOR SENATE,1000.0,PICKETT FOR CONGRESS,http://docquery.fec.gov/cgi-bin/fecimg/?24990397012,4020120041035214945,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2004-05-03 00:00:00,,1000.0,VIRGINIA BEACH DEMOCRATIC COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?24961750711,4071220041040089615,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2004-05-24 00:00:00,,1000.0,DAVID ASHE FOR CONGRESS,http://docquery.fec.gov/cgi-bin/fecimg/?24961750711,4071220041040089614,True,False,False,political contribution
C00200873,"PICKETT, OWEN B",Virginia,2004-05-26 00:00:00,,1000.0,CHILDREN'S PERFORMANCE WORKSHOP,http://docquery.fec.gov/cgi-bin/fecimg/?24961750711,4071220041040089613,True,False,False,charitable donation
C00200873,"PICKETT, OWEN B",Virginia,2004-08-10 00:00:00,CONTRIBUTION,2500.0,CAPE HENRY COLLEGIATE SCHOOL,http://docquery.fec.gov/cgi-bin/fecimg/?24981332231,4101420041043219205,True,False,False,charitable donation
