committee_id,candidate_name,state_full,disbursement_date,disbursement_description,disbursement_amount,recipient_name,pdf_url,sub_id,two_years_after_office,two_years_after_last_election,after_death,TIMES_CATEGORY
C00265298,"EVERETT, TERRY",Alabama,2011-02-08 00:00:00,FEC COMPLIANCE DEC. 2010,1250.0,"MORGAN, MEREDITH & ASSOCIATES",http://docquery.fec.gov/cgi-bin/fecimg/?11930672435,4041820111138126646,True,False,False,accounting/compliance/tax prep
C00265298,"EVERETT, TERRY",Alabama,2011-03-26 00:00:00,FEC COMPLIANCE FEB. 2011,1250.0,ELECTION COMPLIANCE SERVICES,http://docquery.fec.gov/cgi-bin/fecimg/?11930672435,4041820111138126644,True,False,False,accounting/compliance/tax prep
C00265298,"EVERETT, TERRY",Alabama,2011-03-26 00:00:00,FEC COMPLIANCE NOV. 2010,1250.0,ELECTION COMPLIANCE SERVICES,http://docquery.fec.gov/cgi-bin/fecimg/?11930672435,4041820111138126645,True,False,False,accounting/compliance/tax prep
C00265298,"EVERETT, TERRY",Alabama,2011-07-06 00:00:00,STORAGE RENTAL,690.0,AMERICAN SELF-STORAGE,http://docquery.fec.gov/cgi-bin/fecimg/?11952585757,4101820111143761586,True,False,False,storage
C00265298,"EVERETT, TERRY",Alabama,2011-07-15 00:00:00,REPORTING SERVICES,2500.0,"MORGAN, MEREDITH & ASSOCIATES",http://docquery.fec.gov/cgi-bin/fecimg/?11952585757,4101820111143761587,True,False,False,accounting/compliance/tax prep
C00265298,"EVERETT, TERRY",Alabama,2011-08-08 00:00:00,REPORTING SERVICES,1250.0,"MORGAN, MEREDITH & ASSOCIATES",http://docquery.fec.gov/cgi-bin/fecimg/?11952585757,4101820111143761588,True,False,False,accounting/compliance/tax prep
C00265298,"EVERETT, TERRY",Alabama,2011-10-15 00:00:00,REPORTING SERVICES,2500.0,"MORGAN, MEREDITH & ASSOCIATES",http://docquery.fec.gov/cgi-bin/fecimg/?12951788480,4051820121156105289,True,False,False,accounting/compliance/tax prep
C00265298,"EVERETT, TERRY",Alabama,2011-12-29 00:00:00,POLITICAL CONTRIBUTION,2000.0,JO BONNER FOR CONGRESS COMMITTEE,http://docquery.fec.gov/cgi-bin/fecimg/?12951788481,4051820121156105290,True,False,False,political contribution
C00265298,"EVERETT, TERRY",Alabama,2011-12-29 00:00:00,POLITICAL CONTRIBUTION,2000.0,MARTHA ROBY FOR CONGRESS,http://docquery.fec.gov/cgi-bin/fecimg/?12951788481,4051820121156105291,True,False,False,political contribution
C00265298,"EVERETT, TERRY",Alabama,2011-12-29 00:00:00,POLITICAL CONTRIBUTION,2000.0,MIKE ROGERS FOR CONGRESS,http://docquery.fec.gov/cgi-bin/fecimg/?12951788481,4051820121156105292,True,False,False,political contribution
C00265298,"EVERETT, TERRY",Alabama,2011-12-31 00:00:00,STORAGE - 6 MONTHS,690.0,AMERICAN SELF-STORAGE,http://docquery.fec.gov/cgi-bin/fecimg/?12951788480,4051820121156105288,True,False,False,storage
C00265298,"EVERETT, TERRY",Alabama,2012-03-05 00:00:00,REPORTING SERVICES,7500.0,"MORGAN, MEREDITH & ASSOCIATES",http://docquery.fec.gov/cgi-bin/fecimg/?12951788513,4052120121156177310,True,False,False,accounting/compliance/tax prep
C00265298,"EVERETT, TERRY",Alabama,2012-06-11 00:00:00,REPORTING SERVICES,2750.0,"MORGAN, MEREDITH & ASSOCIATES",http://docquery.fec.gov/cgi-bin/fecimg/?12971417503,4071620121159267303,True,False,False,accounting/compliance/tax prep
C00265298,"EVERETT, TERRY",Alabama,2012-07-02 00:00:00,STORAGE RENTAL - 6 MONTHS,690.0,AMERICAN SELF-STORAGE,http://docquery.fec.gov/cgi-bin/fecimg/?12972563485,4101620121167385873,True,False,False,storage
C00265298,"EVERETT, TERRY",Alabama,2012-10-02 00:00:00,REPORTING SERVICES,2500.0,ELECTION COMPLIANCE SERVICES,http://docquery.fec.gov/cgi-bin/fecimg/?12940883046,4121220121174638916,True,False,False,accounting/compliance/tax prep
C00265298,"EVERETT, TERRY",Alabama,2012-11-29 00:00:00,CONTRIBUTION TO CHARITABLE FOUNDATION,250000.0,R. TERRY EVERETT FOUNDATION,http://docquery.fec.gov/cgi-bin/fecimg/?13960631402,4013120131180451217,True,False,False,charitable donation: own foundation
C00265298,"EVERETT, TERRY",Alabama,2012-11-29 00:00:00,CONTRIBUTION TO CHARITABLE FOUNDATION,250000.0,R. TERRY EVERETT FOUNDATION,http://docquery.fec.gov/cgi-bin/fecimg/?13960631402,4013120131180451218,True,False,False,charitable donation: own foundation
C00265298,"EVERETT, TERRY",Alabama,2012-12-12 00:00:00,REPORTING SERVICES,3762.58,"MORGAN, MEREDITH & ASSOCIATES",http://docquery.fec.gov/cgi-bin/fecimg/?13960631401,4013120131180451216,True,False,False,accounting/compliance/tax prep
C00265298,"EVERETT, TERRY",Alabama,2013-01-02 00:00:00,STORAGE RENTAL,730.0,AMERICAN SELF-STORAGE,http://docquery.fec.gov/cgi-bin/fecimg/?13940538173,4041620131186464463,True,False,False,storage
C00265298,"EVERETT, TERRY",Alabama,2013-05-03 00:00:00,REPORTING SERVICES,3025.9,"MORGAN, MEREDITH & ASSOCIATES",http://docquery.fec.gov/cgi-bin/fecimg/?13964071532,4072920131194658634,True,False,False,accounting/compliance/tax prep
C00265298,"EVERETT, TERRY",Alabama,2013-07-09 00:00:00,STORAGE RENTAL,720.0,AMERICAN SELF-STORAGE,http://docquery.fec.gov/cgi-bin/fecimg/?13941775695,4102320131197876928,True,False,False,storage
C00265298,"EVERETT, TERRY",Alabama,2013-09-05 00:00:00,REPORTING SERVICES,4533.97,"MORGAN, MEREDITH & ASSOCIATES",http://docquery.fec.gov/cgi-bin/fecimg/?13941775695,4102320131197876929,True,False,False,accounting/compliance/tax prep
C00265298,"EVERETT, TERRY",Alabama,2013-10-18 00:00:00,CHARITABLE CONTRIBUTION,36907.92,R. TERRY EVERETT FOUNDATION,http://docquery.fec.gov/cgi-bin/fecimg/?13942273649,4111220131198758591,True,False,False,charitable donation: own foundation
