committee_id,candidate_name,state_full,disbursement_date,disbursement_description,disbursement_amount,recipient_name,pdf_url,sub_id,two_years_after_office,two_years_after_last_election,after_death,TIMES_CATEGORY
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2017-03-15 00:00:00,TRANSFER TO COMMITTEE,1000.0,ARCHIE PARNELL FOR CONGRESS,http://docquery.fec.gov/cgi-bin/fecimg/?201704069052044406,4040820171397810845,True,True,False,political contribution
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2017-05-22 00:00:00,TRANSFER OF CAMPAIGN FUNDS,1000.0,YORK COUNTY DEMOCRATIC PARTY,http://docquery.fec.gov/cgi-bin/fecimg/?201707109066575489,4071120171418772511,True,True,False,political contribution
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2017-05-22 00:00:00,CONTRIBUTION,500.0,"CHORAK, ELIZABETH MRS.",http://docquery.fec.gov/cgi-bin/fecimg/?201707109066575490,4071120171418772513,True,True,False,political contribution
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2017-06-13 00:00:00,CONTRIBUTION,1000.0,ARCHIE PARNELL FOR CONGRESS,http://docquery.fec.gov/cgi-bin/fecimg/?201707109066575489,4071120171418772509,True,True,False,political contribution
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2013-01-14 00:00:00,TELEPHONE,25.63,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?13940530387,4041820131187478822,True,True,False,phones/fax
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2013-02-08 00:00:00,INTERNET ACCESS,47.62,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?13940530387,4041820131187478823,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2013-02-18 00:00:00,INTERNET ACCESS,25.54,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?13940530387,4041820131187478824,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2013-02-18 00:00:00,CONTRIBUTION: FEDERAL CANDIDATE,1000.0,ELIZABETH COLBERT BUSCH FOR CONGRESS,http://docquery.fec.gov/cgi-bin/fecimg/?13940530390,4041820131187478829,True,True,False,political contribution
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2013-03-08 00:00:00,INTERNET ACCESS,46.95,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?13940530388,4041820131187478825,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2013-03-10 00:00:00,TRANSFER OF CAMPAIGN FUNDS,500.0,S. C. DEMOCRATIC PARTY,http://docquery.fec.gov/cgi-bin/fecimg/?13940530390,4041820131187478830,True,True,False,political contribution
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2013-03-25 00:00:00,TELEPHONE/CABLE,75.49,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?13940530388,4041820131187478826,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2013-04-23 00:00:00,TRANSFER OF CAMPAIGN FUNDS,5000.0,S. C. DEMOCRATIC PARTY,http://docquery.fec.gov/cgi-bin/fecimg/?13941116442,4072620131194637031,True,True,False,political contribution
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2013-05-10 00:00:00,INTERNET ACESS,49.95,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?13941116440,4072620131194637026,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2013-05-15 00:00:00,INTERNET ACCESS,49.95,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?13941116440,4072620131194637027,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2013-05-15 00:00:00,TELEPHONE,25.5,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?13941116440,4072620131194637028,True,True,False,phones/fax
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2013-06-10 00:00:00,FAX LINE,25.5,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?13941116441,4072620131194637029,True,True,False,phones/fax
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2013-06-25 00:00:00,PHONE SERVICES,75.55,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?13941116441,4072620131194637030,True,True,False,phones/fax
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2013-07-30 00:00:00,INTERNET ACCESS,99.9,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?13964683631,4120220131199577318,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2013-09-28 00:00:00,INTERNET ACCESS,49.95,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?13964683631,4120220131199577319,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2013-10-10 00:00:00,INTERNET ACCESS,49.95,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?14940228725,4032020141210633569,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2014-01-31 00:00:00,INTERNET ACCESS,99.9,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?14960729866,4061820141215484030,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2014-03-25 00:00:00,INTERNET ACCESS,49.95,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?14960729866,4061820141215484031,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2014-03-30 00:00:00,INTERNET ACCESS,109.9,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?14960729866,4061820141215484032,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2014-06-29 00:00:00,INTERNET ACCESS,109.9,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?14941765138,4071120141217068982,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2014-09-30 00:00:00,INTERNET ACCESS,89.9,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?14978298985,4101620141226140596,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2014-11-30 00:00:00,INTERNET ACCESS,44.2,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?15950110130,4012820151237456949,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2014-12-11 00:00:00,BOX RENTAL,92.0,U. S. POSTMASTER,http://docquery.fec.gov/cgi-bin/fecimg/?15950110130,4012820151237456951,True,True,False,office: postage/shipping
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2014-12-20 00:00:00,INTERNET ACCESS,44.95,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?15950110130,4012820151237456950,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2015-01-02 00:00:00,INTERNET ACCESS,44.95,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?15951123656,4041320151241800224,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2015-03-28 00:00:00,INTERNET ACCESS,44.95,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?15951123656,4041320151241800225,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2015-04-16 00:00:00,LOAN REPAYMENT,40000.0,"SPRATT, JOHN MCKEE MR. JR.",http://docquery.fec.gov/cgi-bin/fecimg/?201507159000173158,4071620151247289594,True,True,False,loan: repayment to self
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2015-05-01 00:00:00,,1000.0,YORK COUNTY DEMOCRATIC PARTY,http://docquery.fec.gov/cgi-bin/fecimg/?201507159000173157,4071620151247289593,True,True,False,political contribution
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2015-05-30 00:00:00,INTERNET ACCESS,40.77,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?201507159000173157,4071620151247289591,True,True,False,internet
C00155796,"SPRATT, JOHN MCKEE JR HON",South Carolina,2015-06-30 00:00:00,INTERNET ACCESS,85.15,COMPORIUM COMMUNICATIONS,http://docquery.fec.gov/cgi-bin/fecimg/?201507159000173157,4071620151247289592,True,True,False,internet
